Protein,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV- StDev,BV+ Avg Count,BV+ Avg Transformed Abundance,BV+ StDev,delta
Nuclease-sensitive element-binding protein 1,1.74E-07,1.111111111,0.00015658,0.000170743,0,0,0,-1.111111111
Normal mucosa of esophagus-specific gene 1 protein,1.74E-07,0.888888889,0.000131115,0.000135922,0,0,0,-0.888888889
"Spectrin beta chain, non-erythrocytic 2",1.74E-07,0.555555556,8.18E-05,7.67E-05,0,0,0,-0.555555556
Eukaryotic translation initiation factor 5A-1,1.74E-07,0.888888889,0.000131927,0.000157265,0,0,0,-0.888888889
Microtubule-associated protein 4,1.74E-07,0.888888889,0.000137009,0.000158496,0,0,0,-0.888888889
Calmodulin-3,2.08E-07,3.888888889,0.000588043,0.000494554,0.35,7.54E-05,0.000131221,-3.538888889
Actin-related protein 2/3 complex subunit 3,2.21E-07,1.111111111,0.000165293,0.000138261,0.05,1.19E-05,5.25E-05,-1.061111111
Macrophage-capping protein,2.33E-07,5.111111111,0.000759032,0.000438163,0.8,0.000173307,0.000237602,-4.311111111
Phosphoglycerate kinase 2,3.65E-07,8.111111111,0.001205939,0.000473284,2.1,0.000387568,0.00039533,-6.011111111
Calpastatin,3.68E-07,6.888888889,0.001038308,0.000749951,0.8,0.000146343,0.000272227,-6.088888889
Protein S100-A10,4.00E-07,6.777777778,0.00100856,0.000345769,1.4,0.000289664,0.000336949,-5.377777778
Protein disulfide-isomerase,6.66E-07,17.88888889,0.002683164,0.000703501,5.9,0.001127444,0.000853144,-11.98888889
Fatty acid-binding protein 5,6.68E-07,63.77777778,0.009353197,0.004796764,12.7,0.002553599,0.002728843,-51.07777778
Heat shock cognate 71 kDa protein,6.68E-07,35.11111111,0.005255514,0.00107007,14.3,0.002859114,0.001503453,-20.81111111
Phosphoglycerate kinase 1,9.35E-07,35.55555556,0.005236588,0.001912805,10.95,0.002138827,0.001557697,-24.60555556
Src substrate cortactin,1.12E-06,2.444444444,0.000367234,0.000275443,0.45,7.41E-05,0.000154928,-1.994444444
Cystatin-A,1.18E-06,21.55555556,0.003179835,0.001757932,4.15,0.000908536,0.001156746,-17.40555556
Heat shock 70 kDa protein 1B,1.30E-06,29.22222222,0.004343684,0.000745412,11.85,0.002322968,0.001321034,-17.37222222
Rho GDP-dissociation inhibitor 1,1.30E-06,2.555555556,0.000388352,0.000255237,0.55,0.000106709,0.000220379,-2.005555556
Acyl-CoA-binding protein,1.36E-06,2.333333333,0.000338582,0.000298991,0.3,7.08E-05,0.00031265,-2.033333333
Plastin-1,1.51E-06,1.444444444,0.000213117,0.000169527,0.15,2.63E-05,6.37E-05,-1.294444444
Annexin A4,1.64E-06,0.777777778,0.00011731,0.000125299,3.15,0.000903598,0.001208393,2.372222222
Transketolase,1.81E-06,20.33333333,0.003070625,0.000804039,7.95,0.001674351,0.001454646,-12.38333333
Eukaryotic translation initiation factor 3 subunit H,1.96E-06,1.555555556,0.000222019,0.000149306,0.2,4.12E-05,8.53E-05,-1.355555556
PDZ and LIM domain protein 1,2.12E-06,1.111111111,0.000160265,0.000137761,0.1,1.55E-05,4.74E-05,-1.011111111
Galectin-3,2.19E-06,4.222222222,0.000632272,0.00021334,1,0.000206768,0.000277984,-3.222222222
"Keratin, type II cytoskeletal 1",2.49E-06,22.33333333,0.003302048,0.002606193,43.65,0.009502333,0.004875679,21.31666667
Deleted in malignant brain tumors 1 protein,2.62E-06,0,0,0,1,0.00019932,0.000164495,1
Tight junction protein ZO-1,2.72E-06,1.111111111,0.000154847,0.000167174,0.05,7.01E-06,3.09E-05,-1.061111111
RelA-associated inhibitor,2.72E-06,0.888888889,0.000128149,0.000124765,0.05,7.01E-06,3.09E-05,-0.838888889
Putative fatty acid-binding protein 5-like protein 3,2.96E-06,9.555555556,0.001418804,0.000862538,1.85,0.00036186,0.00041281,-7.705555556
Cysteine-rich C-terminal protein 1,3.18E-06,2.555555556,0.000384118,0.000479979,0.1,1.73E-05,5.27E-05,-2.455555556
"ATP synthase subunit O, mitochondrial",3.18E-06,0.888888889,0.000136751,0.00011794,0.1,1.55E-05,4.74E-05,-0.788888889
ERO1-like protein alpha,3.26E-06,8.666666667,0.001254903,0.000466261,2.55,0.000477895,0.00047297,-6.116666667
Cornulin,3.43E-06,471.6666667,0.069039249,0.033908858,137.1,0.028800186,0.013992514,-334.5666667
Periplakin,3.43E-06,181.3333333,0.026982955,0.009762399,65.9,0.012891586,0.008321013,-115.4333333
Actin-related protein 2/3 complex subunit 5,3.87E-06,0.777777778,0.000111922,0.000138128,0,0,0,-0.777777778
40S ribosomal protein S15,3.87E-06,0.555555556,7.72E-05,9.27E-05,0,0,0,-0.555555556
Eukaryotic translation initiation factor 5A-2,3.87E-06,0.666666667,9.72E-05,0.000149449,0,0,0,-0.666666667
High mobility group nucleosome-binding domain-containing protein 3,3.87E-06,0.555555556,8.97E-05,0.000121005,0,0,0,-0.555555556
Myristoylated alanine-rich C-kinase substrate,3.87E-06,0.555555556,8.58E-05,0.000110731,0,0,0,-0.555555556
"Tryptophan--tRNA ligase, cytoplasmic",3.87E-06,0.666666667,0.000103463,0.000153786,0,0,0,-0.666666667
Cysteine-rich tail protein 1,4.25E-06,1.777777778,0.000270332,0.000303859,0.1,1.56E-05,6.89E-05,-1.677777778
Eukaryotic translation initiation factor 4B,4.25E-06,1.111111111,0.000158296,0.000166164,0.05,8.52E-06,3.76E-05,-1.061111111
Zyxin,4.68E-06,1.888888889,0.000293923,0.000294318,0.2,4.19E-05,0.000105455,-1.688888889
"Keratin, type I cytoskeletal 17",4.70E-06,21.55555556,0.003216782,0.001316423,29.4,0.006534874,0.00390612,7.844444444
"Keratin, type I cytoskeletal 13",6.40E-06,888.5555556,0.12589458,0.021845484,987.7,0.198403772,0.05638185,99.14444444
Serpin B4,6.40E-06,64.88888889,0.009846189,0.002909876,22.7,0.00456204,0.003437571,-42.18888889
"Keratin, type II cytoskeletal 3",6.40E-06,44.33333333,0.006611175,0.001306819,45.55,0.009908372,0.003057794,1.216666667
Catenin alpha-1,6.47E-06,4,0.000598484,0.000238339,1.15,0.000230443,0.000230498,-2.85
Protein-L-isoaspartate(D-aspartate) O-methyltransferase,6.59E-06,1,0.000147518,0.000161008,0.05,8.52E-06,3.76E-05,-0.95
GTP-binding nuclear protein Ran,7.89E-06,2.888888889,0.000436181,9.58E-05,0.95,0.00018345,0.000234721,-1.938888889
Histone H2A.V,7.99E-06,4,0.00059304,0.000269967,1,0.000238417,0.000198204,-3
Histone H2A.Z,7.99E-06,4,0.00059304,0.000269967,1,0.000238417,0.000198204,-3
Thymosin beta-4,8.18E-06,8.555555556,0.001324521,0.001124137,1.9,0.000412645,0.00101918,-6.655555556
Alpha-enolase,8.69E-06,83,0.012410031,0.003295454,34.9,0.006917625,0.004019114,-48.1
"Superoxide dismutase [Mn], mitochondrial",1.01E-05,1.333333333,0.000211681,0.000298848,0.05,1.08E-05,4.78E-05,-1.283333333
"Keratin, type II cytoskeletal 71",1.17E-05,11.77777778,0.001779398,0.001135729,15.65,0.003456129,0.00150509,3.872222222
Filaggrin,1.27E-05,80.55555556,0.011758692,0.008119136,17.35,0.002937754,0.005117258,-63.20555556
T-complex protein 1 subunit beta,1.31E-05,1.111111111,0.000162849,8.86E-05,0.3,5.31E-05,0.000121044,-0.811111111
"Keratin, type I cytoskeletal 15",1.58E-05,100.3333333,0.014900234,0.003256376,110.95,0.025039184,0.010088124,10.61666667
"Keratin, type II cytoskeletal 80",1.87E-05,1.444444444,0.000222099,0.00034499,3.9,0.000848603,0.000519899,2.455555556
Serpin B5,1.96E-05,9.222222222,0.001353056,0.00071344,2.8,0.000495411,0.000794297,-6.422222222
Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1.98E-05,1.666666667,0.000240196,0.000239248,0.1,1.55E-05,4.74E-05,-1.566666667
Tropomyosin beta chain,2.11E-05,15.77777778,0.002373439,0.0010294,5.5,0.001081695,0.000649714,-10.27777778
Ezrin,2.12E-05,16.55555556,0.002501364,0.00056399,7.75,0.001678485,0.000699093,-8.805555556
"Keratin, type II cytoskeletal 74",2.12E-05,11.11111111,0.001686948,0.001175087,15.65,0.003456658,0.001536145,4.538888889
"Keratin, type II cytoskeletal 2 oral",2.12E-05,14.33333333,0.002128946,0.000634233,20.5,0.004268714,0.002169001,6.166666667
T-complex protein 1 subunit zeta,2.18E-05,0.888888889,0.000127087,0.000108801,0.15,2.25E-05,7.07E-05,-0.738888889
Heterogeneous nuclear ribonucleoprotein U,2.29E-05,1.444444444,0.00021281,0.000165006,0.25,4.96E-05,0.000116893,-1.194444444
Putative heat shock protein HSP 90-alpha A4,2.46E-05,1.555555556,0.000228809,8.49E-05,0.4,8.83E-05,0.000172537,-1.155555556
Putative heat shock protein HSP 90-beta 2,2.56E-05,1.333333333,0.000188318,0.000164399,0.15,3.18E-05,7.75E-05,-1.183333333
Programmed cell death 6-interacting protein,2.64E-05,4.888888889,0.000714101,0.000384251,1.3,0.000244124,0.000289181,-3.588888889
Cystatin-B,2.82E-05,52.66666667,0.007911462,0.00209756,22.9,0.005088401,0.001927754,-29.76666667
"Keratin, type I cytoskeletal 19",2.82E-05,101.2222222,0.014974383,0.00660323,112.6,0.025161069,0.010235715,11.37777778
Tubulin alpha-3E chain,3.75E-05,6.111111111,0.000907273,0.000292247,7.2,0.001704154,0.000978157,1.088888889
Immunoglobulin kappa variable 3D-11,3.75E-05,3.555555556,0.000535828,7.81E-05,4.55,0.001071407,0.000616326,0.994444444
Putative histone H2B type 2-D,3.88E-05,5.333333333,0.000786675,0.000561958,1.05,0.000217933,0.000257805,-4.283333333
Epidermal growth factor receptor kinase substrate 8-like protein 1,4.19E-05,6.111111111,0.000913552,0.00058602,1.85,0.000314627,0.000449089,-4.261111111
Endophilin-A2,4.74E-05,2,0.000307944,0.000240165,0.4,6.57E-05,0.000133022,-1.6
Tropomyosin alpha-1 chain,4.95E-05,12.33333333,0.001868248,0.000774774,4.95,0.00099209,0.000582531,-7.383333333
"Keratin, type I cytoskeletal 16",4.96E-05,94.11111111,0.013940679,0.004641078,110.8,0.023785788,0.010744516,16.68888889
Serpin B3,4.96E-05,97.77777778,0.014870934,0.005088557,39.65,0.008090655,0.005517522,-58.12777778
Tubulin alpha-3C chain,4.96E-05,7.888888889,0.001170905,0.000287527,9.15,0.002133576,0.001081112,1.261111111
Immunoglobulin kappa variable 3-11,4.96E-05,3.666666667,0.000549175,7.78E-05,4.6,0.001080089,0.000624575,0.933333333
Peroxiredoxin-4,4.96E-05,2,0.000294304,0.000174915,2.7,0.000631637,0.000305808,0.7
40S ribosomal protein S18,5.10E-05,1,0.00014898,0.000142928,0.15,2.70E-05,6.56E-05,-0.85
"Spectrin alpha chain, non-erythrocytic 1",5.30E-05,1.333333333,0.000192812,0.000151737,0.35,7.16E-05,0.000197971,-0.983333333
High mobility group protein B1,6.04E-05,1.777777778,0.000277724,0.000229471,0.45,0.000102779,0.000279572,-1.327777778
Endoplasmic reticulum chaperone BiP,6.40E-05,16.44444444,0.002461563,0.000765534,6.35,0.001261171,0.000934451,-10.09444444
Putative histone H2B type 2-C,6.81E-05,5.333333333,0.000786675,0.000561958,1.1,0.000227396,0.000260101,-4.233333333
Putative nucleoside diphosphate kinase,7.00E-05,1.333333333,0.000202494,0.000263821,3.05,0.000734172,0.000623002,1.716666667
Calponin-3,7.22E-05,0.444444444,6.08E-05,9.18E-05,0,0,0,-0.444444444
Mitogen-activated protein kinase 3,7.22E-05,0.666666667,9.10E-05,0.00013951,0,0,0,-0.666666667
60S ribosomal protein L8,7.22E-05,0.444444444,6.20E-05,9.87E-05,0,0,0,-0.444444444
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,7.22E-05,0.333333333,4.52E-05,6.61E-05,0,0,0,-0.333333333
"Troponin C, skeletal muscle",7.22E-05,0.333333333,4.97E-05,7.38E-05,0,0,0,-0.333333333
Y-box-binding protein 3,7.22E-05,0.444444444,6.88E-05,0.000111661,0,0,0,-0.444444444
Neutrophil cytosol factor 2,7.22E-05,0.555555556,8.81E-05,0.000137359,0,0,0,-0.555555556
Thymosin beta-10,7.22E-05,0.555555556,9.06E-05,0.000140904,0,0,0,-0.555555556
Kinesin heavy chain isoform 5A,7.22E-05,0.333333333,5.49E-05,8.03E-05,0,0,0,-0.333333333
Kinesin heavy chain isoform 5C,7.22E-05,0.333333333,5.49E-05,8.03E-05,0,0,0,-0.333333333
Afadin,7.22E-05,0.333333333,4.81E-05,7.01E-05,0,0,0,-0.333333333
Alpha-synuclein,7.22E-05,0.777777778,0.000117401,0.000191162,0,0,0,-0.777777778
Adenosine kinase,7.22E-05,0.333333333,4.91E-05,7.16E-05,0,0,0,-0.333333333
High mobility group protein HMG-I/HMG-Y,7.22E-05,0.333333333,5.25E-05,7.65E-05,0,0,0,-0.333333333
Eukaryotic translation initiation factor 5A-1-like,7.22E-05,0.555555556,8.60E-05,0.000153402,0,0,0,-0.555555556
Partner of Y14 and mago,7.22E-05,0.333333333,4.97E-05,7.25E-05,0,0,0,-0.333333333
Poly(rC)-binding protein 1,7.71E-05,3.888888889,0.000586966,0.000408559,1.2,0.000241681,0.000227984,-2.688888889
Tubulin alpha-1C chain,8.56E-05,12.33333333,0.001826836,0.000374312,12.15,0.00275309,0.001258037,-0.183333333
60S acidic ribosomal protein P2,8.74E-05,1.444444444,0.000206269,0.000127839,0.8,0.000130157,0.000315388,-0.644444444
Eukaryotic initiation factor 4A-II,9.77E-05,2.222222222,0.000337476,0.000207964,3,0.000716217,0.000422824,0.777777778
Putative high mobility group protein B1-like 1,9.89E-05,1.222222222,0.000191686,0.000176366,0.25,5.67E-05,0.000168144,-0.972222222
Actin-related protein 2/3 complex subunit 1A,0.000100554,1.555555556,0.000234297,0.000236841,0.25,4.48E-05,9.70E-05,-1.305555556
Heterogeneous nuclear ribonucleoprotein L,0.000101248,0.777777778,0.000114176,0.000150986,0.05,7.80E-06,3.44E-05,-0.727777778
Plectin,0.000107992,5.777777778,0.000835197,0.000638593,1.55,0.000289138,0.00041876,-4.227777778
Envoplakin,0.000111752,85.55555556,0.012730262,0.00458832,35.55,0.007130346,0.00489133,-50.00555556
Protein-glutamine gamma-glutamyltransferase E,0.000111752,12.66666667,0.001942502,0.002464091,28.45,0.005693603,0.003798303,15.78333333
Histone H2A type 1-A,0.000117369,3.666666667,0.000541796,0.000333463,0.85,0.000210566,0.000208226,-2.816666667
Heterogeneous nuclear ribonucleoprotein A3,0.000122692,1.666666667,0.000250649,0.00012825,0.5,9.50E-05,0.000141418,-1.166666667
Cadherin-1,0.000122692,0.222222222,3.42E-05,6.60E-05,1.15,0.000273466,0.000272419,0.927777778
60S ribosomal protein L17,0.000125409,0.777777778,0.000118259,0.000122705,0.15,2.26E-05,7.40E-05,-0.627777778
Poly(rC)-binding protein 3,0.000137216,1.444444444,0.000220081,0.000185086,0.25,4.85E-05,0.000112338,-1.194444444
Ubiquitin-like modifier-activating enzyme 1,0.000140316,10,0.001490917,0.000454707,4,0.000774438,0.00070438,-6
Galectin-3-binding protein,0.000144269,1.666666667,0.000243181,0.000134686,3.55,0.000757584,0.000514696,1.883333333
"Keratin, type II cytoskeletal 73",0.000145269,21.88888889,0.003305413,0.002073239,27.85,0.006155478,0.002938896,5.961111111
Unconventional myosin-VI,0.000150914,0.555555556,8.16E-05,0.000104772,0.05,7.80E-06,3.44E-05,-0.505555556
60S ribosomal protein L21,0.000150914,1,0.000146945,0.000222935,0.05,7.80E-06,3.44E-05,-0.95
Eukaryotic translation initiation factor 4H,0.000151356,2,0.000291718,0.000174599,0.6,0.000107187,0.000217342,-1.4
Annexin A5,0.000165082,1.666666667,0.000264248,0.000218782,2.85,0.000714901,0.000556564,1.183333333
Eukaryotic initiation factor 4A-I,0.000188033,2.888888889,0.000424494,0.000207046,3.7,0.00086477,0.000523145,0.811111111
Immunoglobulin lambda constant 2,0.000188033,21.88888889,0.003293697,0.001481161,32.35,0.007540343,0.004713765,10.46111111
Immunoglobulin lambda constant 3,0.000188033,22,0.003312172,0.001467142,34.25,0.007920553,0.005100775,12.25
Tropomyosin alpha-4 chain,0.000188033,25.88888889,0.003938818,0.002255068,9.4,0.001852417,0.000982752,-16.48888889
"Keratin, type II cytoskeletal 79",0.000188033,8,0.001177892,0.000548376,8.9,0.001973358,0.000762866,0.9
Cornifin-B,0.000198696,28.11111111,0.00427812,0.003141161,5.35,0.000986842,0.001213242,-22.76111111
High mobility group protein B2,0.000202933,2,0.000315594,0.000238186,0.5,0.000112031,0.000257696,-1.5
40S ribosomal protein S17,0.000208477,3.666666667,0.00054,0.000359648,1,0.000165838,0.000307464,-2.666666667
60S ribosomal protein L10-like,0.000222733,0.555555556,8.08E-05,0.000107827,0.05,9.46E-06,4.18E-05,-0.505555556
Transcription initiation factor TFIID subunit 1-like,0.000222733,0.555555556,8.72E-05,0.000108338,0.05,1.05E-05,4.62E-05,-0.505555556
Purine nucleoside phosphorylase,0.000250995,1.555555556,0.000238727,0.000242289,0.35,7.96E-05,0.000225829,-1.205555556
"Glycogen phosphorylase, liver form",0.000254751,1.222222222,0.000182024,0.00019591,0.25,5.25E-05,0.000130042,-0.972222222
Endophilin-A1,0.000254751,0.666666667,0.000104382,7.68E-05,0.2,3.35E-05,8.75E-05,-0.466666667
40S ribosomal protein S14,0.00027474,2.222222222,0.000329206,0.000242679,0.65,0.00011074,0.000197451,-1.572222222
"ATP-dependent 6-phosphofructokinase, platelet type",0.00032551,0.555555556,9.05E-05,0.000121511,0.1,2.74E-05,0.000120802,-0.455555556
60S ribosomal protein L23,0.000331786,1.111111111,0.000161624,0.000171269,0.25,3.97E-05,0.000101723,-0.861111111
Epidermal growth factor receptor kinase substrate 8-like protein 2,0.000342334,2.333333333,0.000330593,0.000273037,0.45,8.91E-05,0.000128084,-1.883333333
60S ribosomal protein L13,0.000344792,1.222222222,0.000191,0.000204838,0.4,6.15E-05,0.000149599,-0.822222222
Adenylyl cyclase-associated protein 1,0.000365164,7,0.001053856,0.000624814,2.25,0.000474985,0.000716882,-4.75
PDZ and LIM domain protein 2,0.000400171,2.222222222,0.000313892,0.000327108,0.3,4.87E-05,0.000106847,-1.922222222
BICD family-like cargo adapter 2,0.0004136,2,0.000294508,0.000262883,0.45,7.29E-05,0.000137898,-1.55
Poly(rC)-binding protein 2,0.0004136,1.444444444,0.000220081,0.000185086,0.3,5.55E-05,0.000113489,-1.144444444
Immunoglobulin lambda variable 3-25,0.000423468,0.777777778,0.000118758,0.000123104,1.55,0.000400554,0.000343445,0.772222222
Immunoglobulin lambda variable 3-10,0.000423468,0.777777778,0.000118758,0.000123104,1.55,0.000400554,0.000343445,0.772222222
Receptor of activated protein C kinase 1,0.000444946,0.222222222,3.86E-05,7.43E-05,1.2,0.000255347,0.000269683,0.977777778
L-lactate dehydrogenase A chain,0.000466138,9.555555556,0.001423835,0.000600121,4.25,0.000855745,0.001104295,-5.305555556
T-complex protein 1 subunit gamma,0.000469878,1.666666667,0.000244233,0.000188109,0.5,8.94E-05,0.000155431,-1.166666667
Heterogeneous nuclear ribonucleoproteins C1/C2,0.000478078,0.777777778,0.000118029,0.000154872,0.15,3.71E-05,0.000126008,-0.627777778
Protein disulfide-isomerase A3,0.000505771,9.555555556,0.001426773,0.000647877,3.85,0.000852307,0.000739541,-5.705555556
60S ribosomal protein L19,0.000536496,1,0.00014496,0.000145615,0.2,3.21E-05,6.54E-05,-0.8
Calpain small subunit 1,0.000575474,1.444444444,0.000223029,0.000184543,0.3,9.22E-05,0.000166106,-1.144444444
Calmodulin-like protein 3,0.000640869,21.44444444,0.003224055,0.000694339,10.35,0.002154637,0.001245338,-11.09444444
Histone H1.4,0.000640869,17.88888889,0.002748098,0.001520695,8.3,0.001720427,0.000981997,-9.588888889
60S ribosomal protein L12,0.000755207,2,0.000304691,0.000144723,0.9,0.00016605,0.000239532,-1.1
S-adenosylmethionine synthase isoform type-2,0.000779699,0.444444444,6.68E-05,0.000131907,1.55,0.000322811,0.000338147,1.105555556
T-complex protein 1 subunit epsilon,0.000787392,1.666666667,0.000258468,0.000206961,0.6,0.00011433,0.00020789,-1.066666667
"Keratin, type I cytoskeletal 14",0.000808623,98.88888889,0.014560521,0.005289029,99.85,0.021331591,0.009940535,0.961111111
Tubulin alpha-4A chain,0.000808623,11.11111111,0.00167184,0.000442529,11.45,0.002506201,0.001168803,0.338888889
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,0.000867643,2.555555556,0.00038255,0.000169877,0.9,0.000184315,0.000202078,-1.655555556
Histidine triad nucleotide-binding protein 1,0.000896838,0.666666667,0.000102241,0.000123959,0.1,1.97E-05,6.12E-05,-0.566666667
Importin subunit beta-1,0.000910593,0.777777778,0.000110561,0.00011573,1.2,0.000270915,0.00019037,0.422222222
60S ribosomal protein L4,0.000948554,1.888888889,0.000273936,0.000248129,0.55,0.000101489,0.000185228,-1.338888889
Triosephosphate isomerase,0.001015986,33.33333333,0.004960505,0.001599699,16.8,0.003411582,0.001515036,-16.53333333
Tropomyosin alpha-3 chain,0.001015986,20.22222222,0.00307573,0.001384946,9.95,0.001974072,0.00100001,-10.27222222
Heat shock protein HSP 90-alpha A2,0.001024122,1.111111111,0.000154695,0.00013422,0.25,5.27E-05,0.000114884,-0.861111111
Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,0.001092439,2.555555556,0.00038255,0.000169877,0.95,0.000201108,0.000251255,-1.605555556
F-actin-capping protein subunit beta,0.001092439,0.888888889,0.00013116,0.000153188,1.8,0.000419258,0.000375584,0.911111111
Transcription factor BTF3,0.001096688,1.111111111,0.000159134,0.000174199,0.25,4.15E-05,0.000100766,-0.861111111
Protein FAM25G,0.001096688,2.888888889,0.000401189,0.000393644,0.65,0.000107628,0.000313405,-2.238888889
Cell division control protein 42 homolog,0.001096688,1.111111111,0.000168414,0.000190408,0.2,4.46E-05,0.000119085,-0.911111111
"Keratin, type II cytoskeletal 2 epidermal",0.001096688,0,0,0,1.4,0.00026625,0.000380433,1.4
Cdc42-interacting protein 4,0.001174921,0.333333333,4.68E-05,9.12E-05,0,0,0,-0.333333333
Coronin-1B,0.001174921,0.222222222,2.97E-05,5.76E-05,0,0,0,-0.222222222
Dynactin subunit 2,0.001174921,0.222222222,2.88E-05,5.57E-05,0,0,0,-0.222222222
BAG family molecular chaperone regulator 3,0.001174921,0.444444444,6.65E-05,0.000154621,0,0,0,-0.444444444
Ubiquitin-conjugating enzyme E2 variant 2,0.001174921,0.222222222,3.07E-05,5.98E-05,0,0,0,-0.222222222
Ubiquitin-conjugating enzyme E2 variant 1,0.001174921,0.222222222,3.07E-05,5.98E-05,0,0,0,-0.222222222
Eukaryotic translation initiation factor 3 subunit G,0.001174921,0.222222222,3.11E-05,6.05E-05,0,0,0,-0.222222222
DNA nucleotidylexotransferase,0.001174921,0.222222222,2.97E-05,5.76E-05,0,0,0,-0.222222222
Bridging integrator 2,0.001174921,0.222222222,3.07E-05,5.98E-05,0,0,0,-0.222222222
Cytospin-B,0.001174921,0.222222222,2.97E-05,5.76E-05,0,0,0,-0.222222222
Unconventional myosin-VIIa,0.001174921,0.222222222,2.99E-05,5.79E-05,0,0,0,-0.222222222
Dystrophin,0.001174921,0.222222222,3.07E-05,5.98E-05,0,0,0,-0.222222222
AMP deaminase 3,0.001174921,0.222222222,3.07E-05,5.98E-05,0,0,0,-0.222222222
AP2-interacting clathrin-endocytosis protein,0.001174921,0.222222222,3.19E-05,6.23E-05,0,0,0,-0.222222222
Sulfotransferase family cytosolic 1B member 1,0.001174921,0.222222222,3.18E-05,6.13E-05,0,0,0,-0.222222222
Microtubule-associated protein 6,0.001174921,0.222222222,3.41E-05,6.57E-05,0,0,0,-0.222222222
"Keratin, type I cuticular Ha2",0.001174921,0.333333333,4.73E-05,9.65E-05,0,0,0,-0.333333333
Apolipoprotein C-III,0.001174921,0.666666667,9.98E-05,0.000203225,0,0,0,-0.666666667
